state,name,localid,year,p1,p2,p3,p4,p1_impute,p2_impute
LA,Rapides Parish,040,2017,0.12999999999999545,3.51,36.82,59.54,1,0
LA,Red River Parish,041,2017,0.010000000000005116,7.27,67.27,25.45,1,0
LA,Richland Parish,042,2017,0.010000000000005116,5.52,75.69,18.78,1,0
LA,Sabine Parish,043,2017,0.3500000000000085,18.64,49.15,31.86,1,0
LA,St. Bernard Parish,044,2017,-0.009999999999990905,4.6,59.3,36.11,1,0
LA,St. Charles Parish,045,2017,1.4210854715202004e-14,5.24,59.21,35.55,1,0
LA,St. Helena Parish,046,2017,0,1.490000000000009,86.57,11.94,1,1
LA,St. James Parish,047,2017,0,9.86,60.56,29.58,1,0
LA,St. John the Baptist Parish,048,2017,0,11.67,58.62,29.71,1,0
LA,St. Landry Parish,049,2017,-0.010000000000005116,3.31,58.88,37.82,1,0
LA,St. Martin Parish,050,2017,0.22000000000001307,15.8,46.32,37.66,1,0
LA,St. Mary Parish,051,2017,0,2.09,58.61,39.3,1,0
LA,St. Tammany Parish,052,2017,-0.009999999999990905,2.44,35.39,62.18,1,0
LA,Tangipahoa Parish,053,2017,0.7000000000000028,18.8,64.7,15.8,1,0
LA,Tensas Parish,054,2017,-0.010000000000005116,10.26,61.54,28.21,1,0
LA,Terrebonne Parish,055,2017,0.269999999999996,11.94,47.34,40.45,1,0
LA,Union Parish,056,2017,1.65,21.49,38.84,38.02,0,0
LA,Vermilion Parish,057,2017,1.4210854715202004e-14,2.96,49.69,47.35,1,0
LA,Vernon Parish,058,2017,0,5.21,46.7,48.09,1,0
LA,Washington Parish,059,2017,-1.4210854715202004e-14,5.2,59.02,35.78,1,0
LA,Webster Parish,060,2017,1.4210854715202004e-14,1.71,38.29,60,1,0
LA,West Baton Rouge Parish,061,2017,-0.010000000000005116,3.21,63.27,33.53,1,0
LA,West Carroll Parish,062,2017,0,0.7800000000000011,21.88,77.34,1,1
LA,West Feliciana Parish,063,2017,0,2.03,57.43,40.54,1,0
LA,Winn Parish,064,2017,0.6600000000000108,1.99,56.95,40.4,1,0
LA,City of Monroe Parish,065,2017,0.3499999999999943,15.65,59.65,24.35,1,0
